FILE, MaxCTUWidth, MaxCUSize, MaxPartitionDepth
ALI_CTU_A , 64 , 8 , 1
ALI_CTU_B , 64 , 8 , 2
ALI_CTU_C , 64 , 8 , 3
ALI_CTU_D , 64 , 8 , 4
ALI_CTU_E , 64 , 16 , 1
ALI_CTU_F , 64 , 16 , 2
ALI_CTU_G , 64 , 16 , 3
ALI_CTU_H , 64 , 16 , 4
ALI_CTU_I , 64 , 32 , 1
ALI_CTU_J , 64 , 32 , 2
ALI_CTU_K , 64 , 32 , 3
ALI_CTU_L , 64 , 32 , 4
ALI_CTU_M , 32 , 8 , 1
ALI_CTU_N , 32 , 8 , 2
ALI_CTU_O , 32 , 8 , 3
ALI_CTU_P , 32 , 8 , 4
ALI_CTU_Q , 32 , 16 , 1
ALI_CTU_R , 32 , 16 , 2
ALI_CTU_S , 32 , 16 , 3
ALI_CTU_T , 32 , 16 , 4
ALI_CTU_U , 32 , 32 , 1
ALI_CTU_V , 32 , 32 , 2
ALI_CTU_W , 32 , 32 , 3
ALI_CTU_X , 32 , 32 , 4
ALI_CTU_Y , 16 , 8 , 1
ALI_CTU_Z , 16 , 8 , 2
ALI_CTU_AA , 16 , 8 , 3
ALI_CTU_AB , 16 , 8 , 4
ALI_CTU_AC , 16 , 16 , 1
ALI_CTU_AD , 16 , 16 , 2
ALI_CTU_AE , 16 , 16 , 3
ALI_CTU_AF , 16 , 16 , 4
ALI_CTU_AG , 16 , 32 , 1
ALI_CTU_AH , 16 , 32 , 2
ALI_CTU_AI , 16 , 32 , 3
ALI_CTU_AJ , 16 , 32 , 4
